"filename", "language", "TypeScript", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-content\presentation-content.component.css", "PostCSS", 0, 0, 10, 0, 2, 12
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-content\presentation-content.component.html", "HTML", 0, 4, 0, 0, 0, 4
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation.component.css", "PostCSS", 0, 0, 8, 0, 1, 9
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\reset-password\reset-password.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\reset-password\reset-password.component.html", "HTML", 0, 46, 0, 0, 5, 51
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\reset-password\reset-password.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\reset-password\reset-password.component.ts", "TypeScript", 41, 0, 0, 0, 6, 47
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Food\food.service.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Glucose\glucose.service.ts", "TypeScript", -3, 0, 0, 0, -4, -7
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Mails\mail.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Mails\mail.service.ts", "TypeScript", 56, 0, 0, 0, 17, 73
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Reports\reports.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Reports\reports.service.ts", "TypeScript", 21, 0, 0, 0, 6, 27
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Users\users.service.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\auth.service.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\shared\Date\date.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\shared\Date\date.service.ts", "TypeScript", 14, 0, 0, 0, 6, 20
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\styles.css", "PostCSS", 0, 0, 7, 0, 2, 9
"Total", "-", 876, 258, 62, 9, 237, 1442
